EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date,,
E00130,PAISLEY KANG,Vice President,Human Resources,Corporate,Female,Asian,61,10-03-2017,"$1,96,951 ",33% ,China,Beijing,,,
E00144,THEODORE NGO,Controls Engineer,Engineering,Research & Development,Male,Asian,55,29-04-2018,"$83,378 ",0% ,China,Beijing,,,
E00145,ALEXANDER RIVERA,Sr. Analyst,Sales,Research & Development,Male,Latino,58,27-04-2009,"$76,802 ",0% ,Brazil,Manaus,,,
E00153,CLAIRE JONES,Field Engineer,Engineering,Corporate,Female,Caucasian,39,12-03-2019,"$62,644 ",0% ,United States,Seattle,,,
E00154,WYATT CHIN,Vice President,Engineering,Speciality Products,Male,Asian,43,07-06-2004,"$2,46,231 ",31% ,United States,Seattle,,,
E00156,MADELYN SCOTT,Sr. Manger,IT,Research & Development,Female,Caucasian,46,09-01-2002,"$1,48,035 ",14% ,United States,Phoenix,,,
E00161,RYAN HA,Vice President,Marketing,Corporate,Male,Asian,60,27-01-2007,"$2,34,311 ",37% ,United States,Miami,,,
E00163,,Director,Finance,Research & Development,Female,Black,65,04-03-2002,"$1,75,837 ",20% ,United States,Phoenix,,,
E00170,HANNAH NELSON,Sr. Analyst,Marketing,Speciality Products,Female,Caucasian,35,07-09-2019,"$70,992 ",0% ,United States,Austin,,,
E00178,HARPER ALEXANDER,Sr. Analyst,Sales,Speciality Products,Female,Caucasian,26,14-10-2019,"$79,356 ",0% ,United States,Phoenix,,,
E00181,GENESIS HU,Sr. Analyst,Marketing,Corporate,Female,Asian,46,15-01-2002,"$86,510 ",0% ,China,Beijing,02-01-2003,,
E00184,KAYDEN ORTEGA,Analyst,Accounting,Manufacturing,Male,Latino,58,19-04-2010,"$56,350 ",0% ,Brazil,Rio de Janerio,,,
E00187,MILES MEHTA,Director,Finance,Research & Development,Male,Asian,64,02-05-1996,"$1,89,933 ",23% ,United States,Miami,,,
E00203,JULIA DOAN,Business Partner,Human Resources,Speciality Products,Female,Asian,53,07-09-2017,"$46,727 ",0% ,United States,Columbus,31-05-2018,,
E00206,THEODORE XI,Manager,Finance,Corporate,Male,Asian,52,05-10-2009,"$1,22,890 ",7% ,China,Shanghai,,,
E00207,HAILEY LAI,Vice President,Human Resources,Manufacturing,Female,Asian,52,23-07-2012,"$1,87,048 ",32% ,China,Chengdu,,,
E00218,DAVID DESAI,Vice President,Sales,Speciality Products,Male,Asian,47,22-11-2016,"$2,53,249 ",31% ,United States,Austin,,,
E00225,ANGEL DELGADO,Director,Finance,Corporate,Male,Latino,31,10-08-2017,"$1,56,931 ",28% ,United States,Seattle,,,
E00233,BROOKLYN REYES,Service Desk Analyst,IT,Manufacturing,Female,Latino,36,19-12-2019,"$91,954 ",0% ,United States,Columbus,,,
E00245,BENJAMIN DELGADO,Test Engineer,Engineering,Corporate,Male,Latino,64,28-09-1992,"$70,778 ",0% ,United States,Austin,,,
E00254,SAMUEL MORALES,Analyst II,Finance,Corporate,Male,Latino,34,27-06-2015,"$57,008 ",0% ,United States,Phoenix,,,
E00265,MILA VASQUEZ,Quality Engineer,Engineering,Manufacturing,Female,Latino,60,16-07-1998,"$92,932 ",0% ,United States,Columbus,,,
E00268,IAN FLORES,Director,Engineering,Corporate,Male,Latino,48,10-12-2019,"$1,83,113 ",24% ,Brazil,Rio de Janerio,,,
E00273,DAVID OWENS,Sr. Analyst,Sales,Corporate,Male,Black,43,16-04-2004,"$94,246 ",0% ,United States,Austin,,,
E00276,EZEKIEL JORDAN,Sr. Manger,Accounting,Corporate,Male,Caucasian,33,10-02-2013,"$1,44,231 ",14% ,United States,Columbus,17-07-2020,,
E00282,JEREMIAH CASTILLO,Analyst II,Accounting,Research & Development,Male,Latino,58,12-04-2006,"$64,202 ",0% ,United States,Columbus,,,
E00287,LUCA NELSON,Manager,Finance,Speciality Products,Male,Caucasian,60,15-06-2010,"$1,06,578 ",9% ,United States,Miami,,,
E00304,DYLAN CHOI,Vice President,IT,Corporate,Male,Asian,63,11-05-2012,"$2,31,141 ",34% ,China,Beijing,,,
E00306,MATEO WILLIAMS,Enterprise Architect,IT,Manufacturing,Male,Caucasian,40,22-01-2011,"$97,339 ",0% ,United States,Austin,,,
E00311,SCARLETT FIGUEROA,Business Partner,Human Resources,Speciality Products,Female,Latino,34,21-10-2016,"$52,811 ",0% ,United States,Miami,,,
E00319,EZRA WILSON,Service Desk Analyst,IT,Manufacturing,Male,Caucasian,55,18-10-2013,"$70,334 ",0% ,United States,Miami,,,
E00324,HAILEY SONG,Manager,Finance,Research & Development,Female,Asian,37,23-08-2016,"$1,24,928 ",6% ,China,Chongqing,,,
E00325,JAMESON CHEN,Vice President,Marketing,Research & Development,Male,Asian,39,05-12-2019,"$2,54,057 ",39% ,China,Shanghai,,,
E00340,ELIANA ALLEN,Business Partner,Human Resources,Research & Development,Female,Caucasian,56,20-08-2009,"$52,800 ",0% ,United States,Phoenix,,,
E00342,WESLEY DOAN,Manager,Finance,Corporate,Male,Asian,63,19-04-2004,"$1,22,487 ",8% ,China,Shanghai,,,
E00344,SAVANNAH HE,Director,IT,Research & Development,Female,Asian,52,14-02-1996,"$1,59,724 ",23% ,China,Beijing,,,
E00359,LOGAN CARRILLO,Sr. Analyst,Marketing,Research & Development,Male,Latino,33,30-11-2014,"$91,280 ",0% ,United States,Miami,,,
E00360,DYLAN THAO,Director,Engineering,Manufacturing,Male,Asian,53,22-10-2012,"$1,68,510 ",29% ,United States,Seattle,,,
E00364,MATTHEW HOWARD,Director,Human Resources,Manufacturing,Male,Caucasian,50,17-10-2021,"$1,72,180 ",30% ,United States,Columbus,,,
E00365,JONATHAN PATEL,Manager,Marketing,Corporate,Male,Asian,28,02-02-2020,"$1,15,417 ",6% ,China,Shanghai,,,
E00369,GENESIS WOODS,Manager,Human Resources,Speciality Products,Female,Black,33,21-08-2013,"$1,05,390 ",6% ,United States,Columbus,,,
E00371,MELODY GRANT,Quality Engineer,Engineering,Corporate,Female,Caucasian,41,07-10-2005,"$79,352 ",0% ,United States,Seattle,,,
E00380,ALICE THOMPSON,Vice President,Accounting,Speciality Products,Female,Caucasian,48,25-04-2007,"$2,17,783 ",36% ,United States,Seattle,,,
E00386,PARKER JAMES,Quality Engineer,Engineering,Speciality Products,Male,Black,45,05-02-2005,"$70,505 ",0% ,United States,Austin,,,
E00399,CONNOR WALKER,Analyst II,Finance,Manufacturing,Male,Caucasian,30,18-03-2019,"$54,714 ",0% ,United States,Columbus,,,
E00401,WESLEY ADAMS,System Administrator ,IT,Corporate,Male,Caucasian,48,11-08-2003,"$93,017 ",0% ,United States,Seattle,,,
E00402,DOMINIC GUZMAN,Analyst,Finance,Manufacturing,Male,Latino,65,16-05-2004,,0% ,Brazil,Manaus,,,
E00403,LILIANA SOTO,Business Partner,Human Resources,Manufacturing,Female,Latino,58,12-10-2010,"$43,001 ",0% ,United States,Austin,,,
E00412,EZRA BANKS,Analyst II,Sales,Research & Development,Male,Caucasian,37,23-04-2010,"$57,531 ",0% ,United States,Chicago,,,
E00415,LEILANI BUTLER,Analyst II,Marketing,Manufacturing,Female,Black,27,21-09-2021,"$68,728 ",0% ,United States,Phoenix,,,
E00416,EVERLEIGH FERNANDEZ,Director,Engineering,Research & Development,Female,Latino,30,22-05-2016,"$1,89,702 ",28% ,Brazil,Manaus,21-12-2020,,
E00417,ATHENA CARRILLO,Analyst II,Finance,Speciality Products,Female,Latino,39,06-04-2006,"$71,531 ",0% ,United States,Columbus,,,
E00422,JADE ACOSTA,Development Engineer,Engineering,Research & Development,Female,Latino,47,29-08-2015,"$68,488 ",0% ,United States,Seattle,,,
E00431,ELIZA HERNANDEZ,Network Architect,IT,Corporate,Female,Latino,48,04-07-2019,"$76,588 ",0% ,Brazil,Rio de Janerio,,,
E00432,ELI GUPTA,Director,Human Resources,Research & Development,Male,Asian,37,19-05-2012,"$1,60,280 ",19% ,China,Beijing,,,
E00436,EVERLY WALKER,HRIS Analyst,Human Resources,Speciality Products,Female,Caucasian,41,23-10-2009,"$54,415 ",0% ,United States,Seattle,22-01-2014,,
E00440,JACK HUYNH,Manager,Marketing,Research & Development,Male,Asian,27,25-09-2018,"$1,14,441 ",10% ,China,Chongqing,22-12-2019,,
E00443,NOLAN BUI,Computer Systems Manager,IT,Research & Development,Male,Asian,28,26-05-2020,"$67,925 ",8% ,China,Shanghai,,,
E00446,HUDSON HILL,Sr. Analyst,Sales,Research & Development,Male,Caucasian,30,04-11-2019,"$96,092 ",0% ,United States,Austin,,,
E00447,HAILEY SANCHEZ,Vice President,Marketing,Corporate,Female,Latino,32,05-02-2014,"$2,03,445 ",34% ,Brazil,Manaus,,,
E00459,JACKSON JORDAN,Business Partner,Human Resources,Research & Development,Male,Black,48,21-09-2020,"$54,654 ",0% ,United States,Phoenix,,,
E00465,DOMINIC PARKER,Test Engineer,Engineering,Research & Development,Male,Caucasian,62,04-10-2011,"$63,959 ",0% ,United States,Seattle,,,
E00467,SOFIA DINH,Operations Engineer,Engineering,Corporate,Female,Asian,55,04-08-1995,"$80,701 ",0% ,United States,Chicago,14-04-2005,,
E00480,HADLEY YEE,Business Partner,Human Resources,Speciality Products,Female,Asian,31,12-03-2018,"$47,913 ",0% ,United States,Seattle,,,
E00481,JAMESON NELSON,Network Architect,IT,Research & Development,Male,Caucasian,61,08-03-2016,"$96,566 ",0% ,United States,Columbus,,,
E00488,EMERY HUNTER,Sr. Analyst,Sales,Corporate,Female,Caucasian,28,03-07-2021,"$82,739 ",0% ,United States,Phoenix,,,
E00494,ROBERT ALVAREZ,Service Desk Analyst,IT,Corporate,Male,Latino,39,21-10-2016,"$84,297 ",0% ,Brazil,Manaus,,,
E00500,HENRY SHAH,Director,Accounting,Manufacturing,Male,Asian,55,11-06-2010,"$1,87,389 ",25% ,China,Chengdu,,,
E00501,MELODY HO,Analyst II,Finance,Research & Development,Female,Asian,55,02-12-2007,"$64,494 ",0% ,United States,Columbus,,,
E00502,NATALIA SALAZAR,Sr. Analyst,Accounting,Manufacturing,Female,Latino,44,02-01-2019,"$74,691 ",0% ,Brazil,Manaus,08-07-2020,,
E00503,LEAH PATTERSON,Manager,Human Resources,Research & Development,Female,Caucasian,33,11-06-2012,"$1,18,253 ",8% ,United States,Austin,,,
E00508,THOMAS JUNG,Sr. Analyst,Accounting,Research & Development,Male,Asian,50,23-10-2009,"$79,447 ",0% ,China,Shanghai,,,
E00515,JOSEPH VAZQUEZ,Sr. Manger,Accounting,Speciality Products,Male,Latino,40,23-01-2019,"$1,59,031 ",10% ,United States,Miami,,,
E00518,LYDIA MORALES,Manager,Finance,Speciality Products,Female,Latino,51,14-06-2013,"$1,08,221 ",5% ,Brazil,Manaus,,,
E00521,LILY CARTER,Network Architect,IT,Research & Development,Female,Caucasian,54,18-05-1998,"$68,268 ",0% ,United States,Phoenix,,,
E00523,DANIEL JORDAN,Network Administrator,IT,Corporate,Male,Caucasian,58,26-07-1993,"$69,260 ",0% ,United States,Phoenix,,,
E00527,MATEO CHU,Field Engineer,Engineering,Speciality Products,Male,Asian,27,16-04-2020,"$71,864 ",0% ,China,Chengdu,,,
E00530,ELI JONES,Manager,Human Resources,Manufacturing,Male,Caucasian,59,14-03-1999,"$1,05,086 ",9% ,United States,Austin,,,
E00535,NATHAN MENDEZ,Manager,IT,Speciality Products,Male,Latino,53,31-10-2006,"$1,20,128 ",10% ,United States,Austin,,,
E00538,CALEB XIONG,Sr. Account Representative,Sales,Corporate,Male,Asian,38,28-11-2011,"$74,010 ",0% ,United States,Chicago,,,
E00549,ISABELLA XI,Vice President,Marketing,Research & Development,Female,Asian,41,13-03-2013,,30% ,United States,Seattle,,,
E00553,ISLA YOON,Quality Engineer,Engineering,Research & Development,Female,Asian,50,10-05-2013,"$79,388 ",0% ,United States,Austin,04-08-2019,,
E00555,CHRISTIAN ALI,Analyst II,Marketing,Research & Development,Male,Asian,65,17-10-2001,"$74,631 ",0% ,China,Chongqing,,,
E00556,GRAYSON WALKER,Director,Accounting,Manufacturing,Male,Caucasian,29,19-02-2017,"$1,81,854 ",29% ,United States,Seattle,24-04-2020,,
E00559,PENELOPE SILVA,Network Architect,IT,Speciality Products,Female,Latino,36,03-11-2016,"$94,618 ",0% ,United States,Columbus,,,
E00568,AVA GARZA,Director,Accounting,Manufacturing,Female,Latino,27,25-06-2018,"$1,74,097 ",21% ,United States,Phoenix,,,
E00577,NORA NUNEZ,Analyst II,Finance,Research & Development,Female,Latino,45,06-08-2012,"$58,586 ",0% ,Brazil,Sao Paulo,,,
E00586,SADIE WASHINGTON,Sr. Manger,Marketing,Research & Development,Female,Caucasian,29,24-05-2019,,12% ,United States,Phoenix,,,
E00591,SAVANNAH ALI,Sr. Manger,Human Resources,Manufacturing,Female,Asian,36,11-02-2009,,15% ,United States,Miami,,,
E00592,JOSEPHINE RICHARDSON,System Administrator ,IT,Manufacturing,Female,Caucasian,57,18-02-1996,"$75,354 ",0% ,United States,Austin,14-12-1996,,
E00593,LUKE WILSON,Solutions Architect,IT,Speciality Products,Male,Caucasian,34,24-05-2016,"$94,352 ",0% ,United States,Miami,,,
E00595,EVERLY CHOW,Sr. Manger,Finance,Speciality Products,Female,Asian,33,21-04-2018,"$1,40,402 ",15% ,China,Beijing,,,
E00605,NOVA WILLIAMS,Manager,Finance,Speciality Products,Female,Black,61,25-04-2010,"$1,10,302 ",6% ,United States,Miami,,,
E00607,JAMESON ALLEN,Director,Marketing,Speciality Products,Male,Caucasian,32,28-11-2016,"$1,77,443 ",16% ,United States,Seattle,,,
E00608,ANNA HAN,Development Engineer,Engineering,Manufacturing,Female,Asian,29,09-11-2019,"$75,012 ",0% ,United States,Chicago,,,
E00624,WILLIAM WATSON,Director,Accounting,Speciality Products,Male,Caucasian,41,04-06-2013,"$1,67,526 ",26% ,United States,Miami,,,
E00626,LUNA SIMMONS,Sr. Analyst,Finance,Corporate,Female,Caucasian,28,04-09-2020,"$95,045 ",0% ,United States,Chicago,,,
E00632,ANGEL CHANG,Network Architect,IT,Research & Development,Male,Asian,37,06-07-2017,"$96,331 ",0% ,China,Shanghai,,,
E00634,SAMANTHA CHAVEZ,Sr. Analyst,Sales,Speciality Products,Female,Latino,53,09-01-2017,"$75,769 ",0% ,Brazil,Manaus,17-07-2020,,
E00638,DAVID SIMMONS,Manager,Marketing,Corporate,Male,Caucasian,51,26-01-1997,"$1,04,431 ",7% ,United States,Phoenix,,,
E00639,BENJAMIN MAI,System Administrator ,IT,Corporate,Male,Asian,54,15-06-1998,"$95,239 ",0% ,United States,Phoenix,,,
E00640,PAISLEY BRYANT,Cloud Infrastructure Architect,IT,Manufacturing,Female,Black,37,27-04-2016,"$91,400 ",0% ,United States,Chicago,,,
E00644,JOSHUA GUPTA,Account Representative,Sales,Corporate,Male,Asian,57,24-01-2017,"$50,994 ",0% ,China,Chongqing,,,
E00646,CHARLES MOORE,Analyst,Accounting,Speciality Products,Male,Caucasian,49,17-12-2011,"$56,878 ",0% ,United States,Seattle,,,
E00647,DYLAN ALI,Sr. Manger,Human Resources,Speciality Products,Male,Asian,27,16-04-2021,"$1,33,400 ",11% ,United States,Phoenix,,,
E00650,EMERY CHANG,Business Partner,Human Resources,Research & Development,Female,Asian,45,17-08-2000,"$55,563 ",0% ,China,Chengdu,,,
E00665,DAVID CHU,Controls Engineer,Engineering,Corporate,Male,Asian,55,03-09-1998,"$86,299 ",0% ,United States,Seattle,,,
E00667,SKYLAR SHAH,Field Engineer,Engineering,Manufacturing,Female,Asian,42,27-04-2012,"$72,903 ",0% ,United States,Phoenix,,,
E00671,,Analyst,Sales,Speciality Products,Male,Caucasian,37,05-09-2019,"$49,998 ",0% ,United States,Seattle,,,
E00672,MILA PENA,Sr. Business Partner,Human Resources,Manufacturing,Female,Latino,45,21-12-2007,"$93,840 ",0% ,Brazil,Manaus,,,
E00676,ISAAC YOON,Manager,Human Resources,Corporate,Male,Asian,41,06-02-2019,"$1,26,950 ",10% ,United States,Chicago,,,
E00682,SOFIA FERNANDEZ,Manager,Accounting,Manufacturing,Female,Latino,44,17-10-2005,"$1,05,223 ",10% ,United States,Phoenix,,,
E00691,EZEKIEL DESAI,Director,Finance,Research & Development,Male,Asian,42,15-01-2003,"$1,66,599 ",26% ,United States,Seattle,,,
E00697,JONATHAN CHAVEZ,System Administrator ,IT,Manufacturing,Male,Latino,29,11-05-2017,"$87,536 ",0% ,United States,Seattle,,,
E00699,AVA AYALA,,IT,Corporate,Female,Latino,55,16-08-2006,"$1,59,044 ",10% ,Brazil,Manaus,,,
E00701,MADELINE GARCIA,Sr. Business Partner,Human Resources,Speciality Products,Female,Latino,45,26-04-2019,"$74,891 ",0% ,Brazil,Rio de Janerio,,,
E00702,NATHAN PHAM,Sr. Manger,Accounting,Manufacturing,Male,Asian,45,12-12-2006,"$1,49,537 ",14% ,United States,Seattle,,,
E00703,WESLEY DOMINGUEZ,Engineering Manager,Engineering,Corporate,Male,Latino,45,27-04-2018,"$1,15,490 ",12% ,United States,Chicago,,,
E00711,MELODY CHIN,Sr. Manger,Finance,Corporate,Female,Asian,43,15-10-2006,"$1,53,492 ",11% ,United States,Chicago,,,
E00715,ELIJAH KANG,Vice President,Engineering,Manufacturing,Male,Asian,35,10-10-2011,"$2,45,482 ",39% ,United States,Seattle,,,
E00716,,Sr. Manger,Marketing,Research & Development,Male,Asian,45,11-03-2021,"$1,35,062 ",15% ,China,Chengdu,,,
E00717,KENNEDY VARGAS,Business Partner,Human Resources,Manufacturing,Female,Latino,45,14-10-2005,"$51,404 ",0% ,Brazil,Manaus,06-12-2009,,
E00725,NOVA HERRERA,Account Representative,Sales,Speciality Products,Female,Latino,45,10-05-2014,"$65,047 ",0% ,Brazil,Sao Paulo,,,
E00742,COOPER MITCHELL,Manager,Sales,Speciality Products,Male,Caucasian,43,31-01-2006,"$1,17,518 ",7% ,United States,Seattle,,,
E00747,LEILANI BAKER,Technical Architect,IT,Speciality Products,Female,Caucasian,59,04-04-2010,"$76,027 ",0% ,United States,Seattle,,,
E00749,VALENTINA MOUA,Account Representative,Sales,Manufacturing,Female,Asian,37,10-11-2015,"$64,204 ",0% ,United States,Columbus,20-04-2021,,
E00752,LUNA LIU,Vice President,Sales,Manufacturing,Female,Asian,36,22-02-2014,"$2,18,530 ",30% ,China,Shanghai,,,
E00758,JONATHAN KHAN,Account Representative,Sales,Manufacturing,Male,Asian,35,30-08-2013,"$59,646 ",0% ,China,Shanghai,,,
E00769,JOSE KANG,Engineering Manager,Engineering,Corporate,Male,Asian,57,25-04-1999,"$95,061 ",10% ,China,Shanghai,,,
E00784,ELLA NGUYEN,Service Desk Analyst,IT,Corporate,Female,Asian,60,10-02-2004,"$90,258 ",0% ,China,Chongqing,,,
E00785,HANNAH HOANG,Manager,Accounting,Speciality Products,Female,Asian,25,15-12-2021,"$1,14,893 ",6% ,China,Chengdu,,,
E00788,EMILY CONTRERAS,Analyst II,Sales,Manufacturing,Female,Latino,56,15-06-1992,"$59,591 ",0% ,Brazil,Sao Paulo,,,
E00791,THOMAS PADILLA,Vice President,Marketing,Research & Development,Male,Latino,57,26-07-2003,"$2,06,624 ",40% ,Brazil,Sao Paulo,,,
E00810,HUNTER NUNEZ,Vice President,Human Resources,Corporate,Male,Latino,62,16-08-2002,"$2,34,594 ",33% ,United States,Seattle,,,
E00813,AUTUMN JOSEPH,Enterprise Architect,IT,Corporate,Female,Black,39,09-05-2018,"$73,317 ",0% ,United States,Miami,,,
E00816,SKYLAR WATSON,Network Architect,IT,Speciality Products,Female,Caucasian,28,08-10-2021,"$64,475 ",0% ,United States,Phoenix,,,
E00824,EVERLEIGH ADAMS,Analyst II,Marketing,Manufacturing,Female,Caucasian,33,14-03-2020,"$68,846 ",0% ,United States,Chicago,,,
E00825,ANNA MOLINA,Sr. Analyst,Accounting,Corporate,Female,Latino,41,12-06-2016,"$70,165 ",0% ,United States,Columbus,,,
E00826,RYLEE BUI,Analyst,Accounting,Corporate,Female,Asian,55,22-12-2011,"$54,733 ",0% ,China,Chongqing,,,
E00834,VIVIAN GUZMAN,Analyst II,Finance,Speciality Products,Female,Latino,53,09-02-2002,"$58,605 ",0% ,United States,Phoenix,,,
E00836,ADDISON ROBERTS,Network Architect,IT,Manufacturing,Female,Caucasian,65,14-05-2018,"$60,985 ",0% ,United States,Seattle,,,
E00842,JOHN VEGA,Vice President,Finance,Corporate,Male,Latino,50,18-01-2004,"$2,47,939 ",35% ,Brazil,Rio de Janerio,,,
E00862,LEVI MORENO,Systems Analyst,IT,Research & Development,Male,Latino,64,27-06-2020,"$40,316 ",0% ,Brazil,Manaus,,,
E00863,LINCOLN RAMOS,Operations Engineer,Engineering,Corporate,Male,Latino,59,10-09-2008,"$96,313 ",0% ,United States,Austin,,,
E00864,SAMANTHA AGUILAR,Manager,Accounting,Speciality Products,Female,Latino,46,24-04-2010,"$1,02,636 ",6% ,United States,Seattle,,,
E00869,NOVA LIN,Cloud Infrastructure Architect,IT,Manufacturing,Female,Asian,33,21-10-2017,"$69,332 ",0% ,United States,Columbus,,,
E00870,EVELYN LIANG,Service Desk Analyst,IT,Speciality Products,Female,Asian,40,26-06-2013,"$69,096 ",0% ,United States,Seattle,,,
E00874,ALEXANDER CHOI,Manager,Marketing,Research & Development,Male,Asian,55,18-09-1994,"$1,02,270 ",10% ,United States,Chicago,,,
E00880,GRACE CARTER,Sr. Manger,Human Resources,Speciality Products,Female,Black,25,17-03-2021,"$1,55,080 ",10% ,United States,Austin,,,
E00884,CAMILA SILVA,,Marketing,Speciality Products,Female,Latino,,01-12-2003,"$1,54,828 ",13% ,United States,Seattle,,,
E00900,ELEANOR DELGADO,Sr. Analyst,Marketing,Manufacturing,Female,Latino,33,27-04-2014,"$75,869 ",0% ,Brazil,Sao Paulo,,,
E00917,SKYLAR BELL,Vice President,Engineering,Manufacturing,Female,Caucasian,30,06-03-2018,"$2,55,431 ",36% ,United States,Columbus,,,
E00929,ALLISON ESPINOZA,Solutions Architect,IT,Speciality Products,Female,Latino,45,16-04-2020,"$66,958 ",0% ,United States,Miami,,,
E00935,JOSEPH MARTIN,Analyst II,Marketing,Corporate,Male,Black,41,13-09-2016,"$64,847 ",0% ,United States,Miami,,,
E00941,SOPHIE ALI,Analyst,Finance,Manufacturing,Female,Asian,55,28-03-2002,"$50,475 ",0% ,United States,Columbus,,,
E00943,ELENA MENDOZA,Director,Sales,Speciality Products,Female,Latino,27,24-10-2018,"$1,54,973 ",29% ,Brazil,Sao Paulo,,,
E00951,EVERLY LIN,Business Partner,Human Resources,Manufacturing,Female,Asian,25,15-03-2021,"$47,974 ",0% ,China,Chongqing,,,
E00952,JAXON POWELL,Field Engineer,Engineering,Research & Development,Male,Caucasian,59,29-03-1996,"$62,605 ",0% ,United States,Austin,,,
E00955,THEODORE MARQUEZ,Development Engineer,Engineering,Speciality Products,Male,Latino,54,24-11-2012,"$94,407 ",0% ,Brazil,Sao Paulo,,,
E00956,ELEANOR CHAU,Development Engineer,Engineering,Research & Development,Female,Asian,37,08-03-2020,"$80,659 ",0% ,United States,Phoenix,,,
E00957,GENESIS PERRY,Sr. Manger,Sales,Corporate,Female,Caucasian,46,18-07-2013,"$1,49,712 ",14% ,United States,Columbus,,,
E00965,JACOB KHAN,Computer Systems Manager,IT,Speciality Products,Male,Asian,53,09-02-2008,"$84,193 ",9% ,China,Shanghai,,,
E00972,AMELIA SALAZAR,Analyst II,Finance,Corporate,Female,Latino,26,23-04-2019,"$59,817 ",0% ,Brazil,Sao Paulo,,,
E00976,ZOE RODRIGUEZ,Director,Human Resources,Speciality Products,Female,Latino,65,23-05-2004,"$1,53,938 ",20% ,United States,Phoenix,,,
E00981,MILES THAO,System Administrator ,IT,Corporate,Male,Asian,57,26-06-2003,"$63,318 ",0% ,United States,Columbus,,,
E00994,CHARLOTTE BAKER,Analyst II,Sales,Manufacturing,Female,Caucasian,29,17-11-2016,"$60,930 ",0% ,United States,Austin,,,
E01002,ELIAS ALI,Manager,Sales,Corporate,Male,Asian,28,19-03-2021,"$1,27,543 ",6% ,China,Shanghai,,,
E01006,AUTUMN LEUNG,Vice President,Finance,Research & Development,Female,Asian,25,15-11-2021,"$2,10,708 ",33% ,United States,Chicago,,,
E01014,LUCAS PHAN,Director,Marketing,Research & Development,Male,Asian,49,19-02-1999,"$1,91,807 ",21% ,China,Chongqing,,,
E01019,DOMINIC SCOTT,Sr. Analyst,Sales,Corporate,Male,Caucasian,45,16-03-2011,"$81,687 ",0% ,United States,Phoenix,,,
E01037,JEREMIAH CHU,IT Systems Architect,IT,Research & Development,Male,Asian,31,12-09-2020,"$96,567 ",0% ,China,Shanghai,,,
